time,f1,f2,f3
12/05/2022 15:00,1.061493411,,
12/05/2022 18:00,1.085895559,,
12/05/2022 19:00,1.085895559,,
12/05/2022 20:00,1.159102001,,
12/05/2022 21:00,0.951683748,,
13/05/2022 0:00,1.220107369,,
13/05/2022 1:00,1.232308443,,
13/05/2022 2:00,1.281112738,,
13/05/2022 9:00,1.098096633,,
13/05/2022 10:00,1.073694485,,
13/05/2022 11:00,1.085895559,,
13/05/2022 12:00,1.085895559,,
13/05/2022 13:00,1.110297706,,
13/05/2022 15:00,1.159102001,2.306002928,
13/05/2022 16:00,1.256710591,2.293801855,
13/05/2022 17:00,1.293313812,2.391410444,
13/05/2022 18:00,0.951683748,,
13/05/2022 19:00,1.073694485,,
13/05/2022 20:00,1.085895559,,
14/05/2022 0:00,1.268911664,2.403611518,
14/05/2022 1:00,1.256710591,2.391410444,
14/05/2022 2:00,1.244509517,2.318204002,
14/05/2022 3:00,1.268911664,2.354807223,
14/05/2022 4:00,1.256710591,2.293801855,
14/05/2022 5:00,1.195705222,,
14/05/2022 6:00,1.207906296,,
14/05/2022 7:00,1.256710591,2.171791118,
14/05/2022 8:00,1.177403612,2.135187897,
14/05/2022 9:00,1.195705222,2.049780381,
14/05/2022 10:00,1.195705222,,
14/05/2022 11:00,1.195705222,,
14/05/2022 12:00,1.214006833,,
14/05/2022 13:00,1.207906296,,
14/05/2022 14:00,1.236375468,,
14/05/2022 15:00,1.191638197,,
14/05/2022 16:00,1.171303075,,
14/05/2022 17:00,1.116398243,,
14/05/2022 18:00,1.146900927,,
14/05/2022 19:00,1.195705222,2.220595412,
14/05/2022 20:00,1.179437124,2.183992191,
14/05/2022 21:00,1.165202538,2.232796486,
14/05/2022 22:00,1.098096633,,
15/05/2022 0:00,1.085895559,,
15/05/2022 1:00,1.195705222,2.24499756,
15/05/2022 2:00,1.187571173,2.281600781,
15/05/2022 3:00,1.21197332,2.232796486,
15/05/2022 4:00,1.187571173,2.171791118,
15/05/2022 5:00,1.165202538,2.269399707,
15/05/2022 6:00,1.165202538,2.37920937,
15/05/2022 7:00,1.177403612,2.281600781,
15/05/2022 8:00,1.073694485,,
15/05/2022 9:00,1.073694485,,
15/05/2022 10:00,1.085895559,,
15/05/2022 11:00,1.085895559,,
15/05/2022 12:00,1.085895559,,
15/05/2022 13:00,1.085895559,,
15/05/2022 14:00,1.061493411,,
15/05/2022 15:00,0.963884822,,
15/05/2022 18:00,1.244509517,,
15/05/2022 19:00,1.256710591,2.318204002,
15/05/2022 20:00,1.268911664,2.299902391,
15/05/2022 21:00,1.305514885,2.293801855,
15/05/2022 22:00,1.256710591,2.208394339,
16/05/2022 0:00,1.195705222,2.220595412,
16/05/2022 1:00,1.195705222,2.367008297,
16/05/2022 2:00,1.098096633,,
16/05/2022 3:00,1.085895559,,
16/05/2022 4:00,1.085895559,,
16/05/2022 5:00,1.085895559,,
16/05/2022 12:00,,2.342606149,
16/05/2022 13:00,,2.159590044,
16/05/2022 14:00,,2.391410444,
16/05/2022 15:00,,2.312103465,
16/05/2022 16:00,1.085895559,2.26329917,
16/05/2022 17:00,1.049292338,2.3344721,
16/05/2022 18:00,1.171303075,2.190092728,
16/05/2022 19:00,1.177403612,2.220595412,
16/05/2022 20:00,1.214006833,2.293801855,
16/05/2022 21:00,1.256710591,2.269399707,
16/05/2022 22:00,,2.415812592,
17/05/2022 0:00,,2.354807223,
17/05/2022 1:00,1.073694485,2.342606149,
17/05/2022 2:00,1.098096633,,
17/05/2022 3:00,1.128599317,,
17/05/2022 4:00,1.329917033,,
17/05/2022 5:00,1.35431918,,
17/05/2022 6:00,1.073694485,,
17/05/2022 7:00,1.085895559,,
17/05/2022 8:00,1.073694485,,
18/05/2022 6:00,,2.293801855,
18/05/2022 7:00,,2.37920937,
18/05/2022 8:00,,2.367008297,
27/05/2022 1:00,,2.293801855,
27/05/2022 2:00,,2.440214739,
27/05/2022 3:00,,2.232796486,
28/05/2022 1:00,1.049292338,,
28/05/2022 2:00,1.061493411,,
28/05/2022 3:00,1.049292338,,
28/05/2022 4:00,1.061493411,,
28/05/2022 13:00,,2.269399707,
28/05/2022 14:00,,2.428013665,
28/05/2022 15:00,1.073694485,2.171791118,
28/05/2022 16:00,1.073694485,2.037579307,
28/05/2022 17:00,0.976085896,2.110785749,
28/05/2022 18:00,,3.355295266,
28/05/2022 19:00,,3.513909224,
28/05/2022 20:00,1.159102001,3.452903856,
28/05/2022 21:00,1.12249878,3.428501708,
28/05/2022 22:00,1.091996096,3.38579795,
29/05/2022 0:00,1.085895559,3.343094192,
29/05/2022 1:00,1.073694485,3.306490971,
29/05/2022 2:00,1.073694485,3.343094192,
29/05/2022 3:00,1.073694485,,
29/05/2022 4:00,1.061493411,,
29/05/2022 5:00,1.073694485,,
29/05/2022 6:00,1.073694485,,
29/05/2022 7:00,1.061493411,3.221083455,
29/05/2022 8:00,1.061493411,3.208882382,
29/05/2022 9:00,1.098096633,3.221083455,
29/05/2022 10:00,1.073694485,3.233284529,
29/05/2022 11:00,1.061493411,3.208882382,
29/05/2022 12:00,1.098096633,3.245485603,
29/05/2022 13:00,1.12249878,3.245485603,
29/05/2022 14:00,1.098096633,3.172279161,
29/05/2022 15:00,1.098096633,,
29/05/2022 18:00,1.085895559,,
29/05/2022 19:00,1.177403612,3.129575403,
29/05/2022 20:00,1.085895559,,
29/05/2022 21:00,1.085895559,,
29/05/2022 22:00,1.098096633,3.111273792,
30/05/2022 0:00,1.110297706,3.111273792,
30/05/2022 1:00,1.085895559,3.062469497,
30/05/2022 2:00,1.171303075,3.050268424,
30/05/2022 3:00,1.256710591,3.05636896,
30/05/2022 4:00,1.171303075,3.062469497,
30/05/2022 5:00,1.189604685,3.062469497,
30/05/2022 6:00,1.134699854,3.05636896,
30/05/2022 7:00,1.098096633,,
30/05/2022 8:00,1.12249878,,
30/05/2022 9:00,1.098096633,3.025866276,
30/05/2022 10:00,1.073694485,3.013665203,
30/05/2022 11:00,1.12249878,3.001464129,
30/05/2022 12:00,1.098096633,3.001464129,
30/05/2022 13:00,1.098096633,2.977061981,
30/05/2022 17:00,,2.964860908,
30/05/2022 18:00,,2.916056613,
30/05/2022 19:00,,2.891654466,
30/05/2022 21:00,1.171303075,2.891654466,
30/05/2022 22:00,1.146900927,2.903855539,
31/05/2022 0:00,1.159102001,2.879453392,
31/05/2022 1:00,1.281112738,2.891654466,
31/05/2022 2:00,1.146900927,2.916056613,
31/05/2022 3:00,1.165202538,2.873352855,
31/05/2022 4:00,1.183504148,2.891654466,
31/05/2022 5:00,1.189604685,2.867252318,
31/05/2022 6:00,1.195705222,2.867252318,
31/05/2022 7:00,1.098096633,,
31/05/2022 8:00,1.110297706,2.867252318,
31/05/2022 9:00,1.098096633,2.855051245,
31/05/2022 10:00,1.110297706,2.830649097,
31/05/2022 11:00,1.098096633,2.848950708,
31/05/2022 12:00,1.085895559,2.836749634,
31/05/2022 13:00,1.085895559,2.82454856,
31/05/2022 14:00,1.110297706,2.47681796,
31/05/2022 15:00,1.183504148,2.635431918,
31/05/2022 16:00,1.177403612,2.763543192,
31/05/2022 17:00,1.085895559,2.757442655,
31/05/2022 18:00,1.128599317,2.757442655,
31/05/2022 19:00,1.128599317,2.781844802,
31/05/2022 20:00,1.171303075,2.757442655,
31/05/2022 21:00,1.146900927,2.745241581,
31/05/2022 22:00,1.281112738,2.403611518,
1/06/2022 0:00,1.268911664,2.428013665,
1/06/2022 1:00,,2.720839434,
1/06/2022 2:00,1.085895559,2.489019034,
1/06/2022 3:00,1.171303075,2.428013665,
1/06/2022 4:00,1.390922401,2.696437286,
1/06/2022 5:00,1.073694485,,
1/06/2022 6:00,1.061493411,,
1/06/2022 7:00,1.073694485,2.733040508,
1/06/2022 8:00,1.073694485,2.696437286,
1/06/2022 9:00,1.085895559,2.696437286,
1/06/2022 10:00,1.098096633,2.665934602,5.173255246
1/06/2022 11:00,1.110297706,2.635431918,5.05124451
1/06/2022 12:00,1.073694485,2.684236213,5.112249878
1/06/2022 13:00,1.073694485,2.672035139,
1/06/2022 14:00,1.073694485,2.647632992,
1/06/2022 15:00,1.085895559,2.659834065,
1/06/2022 16:00,1.085895559,2.659834065,
1/06/2022 17:00,1.098096633,2.672035139,
1/06/2022 18:00,1.159102001,2.659834065,
1/06/2022 19:00,1.085895559,,
1/06/2022 20:00,1.183504148,2.641532455,
1/06/2022 21:00,1.171303075,2.647632992,
1/06/2022 22:00,1.201805759,2.641532455,
2/06/2022 0:00,1.189604685,2.641532455,
2/06/2022 1:00,1.159102001,2.647632992,
2/06/2022 2:00,1.195705222,2.623230844,
2/06/2022 3:00,1.195705222,2.623230844,
2/06/2022 4:00,1.171303075,2.647632992,
2/06/2022 5:00,1.214006833,2.629331381,
2/06/2022 6:00,1.171303075,2.623230844,5.026842362
2/06/2022 7:00,1.189604685,2.617130307,4.85602733
2/06/2022 8:00,1.177403612,2.604929234,4.831625183
2/06/2022 9:00,1.177403612,2.641532455,4.904831625
2/06/2022 10:00,1.183504148,2.586627623,4.782820888
2/06/2022 11:00,1.085895559,2.598828697,4.673011225
2/06/2022 12:00,1.085895559,2.611029771,4.807223036
2/06/2022 13:00,1.183504148,2.598828697,4.95363592
2/06/2022 14:00,1.159102001,2.57442655,4.880429478
2/06/2022 15:00,1.183504148,2.604929234,
2/06/2022 16:00,1.189604685,2.586627623,
2/06/2022 17:00,1.171303075,2.59272816,
2/06/2022 18:00,1.098096633,2.57442655,
2/06/2022 19:00,1.098096633,2.586627623,
2/06/2022 20:00,1.146900927,2.550024402,
2/06/2022 21:00,1.165202538,2.550024402,
2/06/2022 22:00,1.195705222,,
3/06/2022 0:00,1.085895559,,
3/06/2022 1:00,1.085895559,,
3/06/2022 2:00,1.085895559,,
3/06/2022 3:00,1.061493411,,
3/06/2022 4:00,1.085895559,2.525622255,
3/06/2022 5:00,1.085895559,2.513421181,
3/06/2022 6:00,1.098096633,2.537823328,
3/06/2022 7:00,1.195705222,2.537823328,4.62420693
3/06/2022 8:00,1.189604685,2.513421181,4.526598341
3/06/2022 9:00,1.183504148,2.489019034,4.453391898
3/06/2022 10:00,1.159102001,2.489019034,4.477794046
3/06/2022 11:00,1.226207906,2.513421181,4.538799414
3/06/2022 12:00,1.207906296,2.507320644,4.471693509
3/06/2022 13:00,1.214006833,2.513421181,4.557101025
3/06/2022 14:00,1.085895559,,4.538799414
3/06/2022 15:00,1.098096633,,
3/06/2022 16:00,1.098096633,,
3/06/2022 17:00,1.110297706,,
3/06/2022 18:00,1.073694485,,
3/06/2022 19:00,1.098096633,,
3/06/2022 20:00,1.098096633,,
3/06/2022 21:00,1.110297706,2.452415813,
3/06/2022 22:00,1.12249878,2.47681796,
4/06/2022 0:00,1.098096633,2.452415813,
4/06/2022 1:00,1.098096633,2.415812592,
4/06/2022 2:00,1.098096633,2.440214739,
4/06/2022 3:00,1.110297706,2.452415813,
4/06/2022 4:00,1.183504148,2.458516349,
4/06/2022 5:00,1.189604685,2.456482837,
4/06/2022 6:00,1.183504148,2.448348788,
4/06/2022 7:00,1.159102001,2.464616886,4.355783309
4/06/2022 8:00,1.098096633,2.458516349,4.39238653
4/06/2022 9:00,1.189604685,2.452415813,4.367984383
4/06/2022 10:00,1.085895559,,
4/06/2022 11:00,1.183504148,,4.361883846
4/06/2022 12:00,1.23840898,2.464616886,4.398487067
4/06/2022 13:00,1.201805759,2.464616886,4.422889214
4/06/2022 14:00,1.244509517,2.464616886,4.386285993
4/06/2022 15:00,1.110297706,2.440214739,4.367984383
4/06/2022 16:00,1.23840898,2.440214739,4.380185456
4/06/2022 17:00,1.250610054,2.464616886,4.367984383
4/06/2022 18:00,1.232308443,2.428013665,4.343582235
4/06/2022 19:00,1.23840898,2.428013665,4.380185456
4/06/2022 20:00,1.256710591,,
4/06/2022 21:00,1.085895559,,
4/06/2022 22:00,1.098096633,,
5/06/2022 1:00,1.085895559,,
5/06/2022 2:00,1.214006833,,
5/06/2022 3:00,1.262811127,,
5/06/2022 4:00,1.250610054,,
5/06/2022 5:00,1.177403612,2.440214739,
5/06/2022 6:00,1.079795022,2.440214739,
5/06/2022 7:00,1.061493411,2.428013665,
5/06/2022 8:00,1.049292338,2.452415813,4.355783309
5/06/2022 9:00,1.037091264,2.464616886,4.306979014
5/06/2022 10:00,1.12249878,2.415812592,4.306979014
5/06/2022 11:00,1.116398243,,
5/06/2022 12:00,1.134699854,,4.306979014
5/06/2022 13:00,1.14080039,,4.380185456
5/06/2022 14:00,1.116398243,,4.233772572
5/06/2022 15:00,1.091996096,,4.319180088
5/06/2022 16:00,,,4.538799414
5/06/2022 18:00,1.049292338,,
5/06/2022 19:00,1.02489019,,
5/06/2022 20:00,0.984219945,,
5/06/2022 21:00,1.020823166,,4.428989751
5/06/2022 22:00,1.02489019,2.452415813,4.343582235
6/06/2022 0:00,1.012689117,2.440214739,4.428989751
6/06/2022 1:00,1.098096633,2.440214739,4.416788677
6/06/2022 2:00,1.02489019,2.452415813,4.404587604
6/06/2022 5:00,1.061493411,2.452415813,4.404587604
6/06/2022 6:00,1.061493411,2.458516349,4.39238653
6/06/2022 7:00,0.988286969,2.464616886,4.39238653
6/06/2022 8:00,1.012689117,2.440214739,4.453391898
6/06/2022 9:00,1.073694485,2.440214739,4.313079551
6/06/2022 10:00,1.085895559,2.458516349,4.435090288
6/06/2022 11:00,1.073694485,2.458516349,4.39238653
6/06/2022 12:00,1.085895559,2.464616886,4.386285993
6/06/2022 13:00,1.073694485,2.458516349,4.380185456
6/06/2022 14:00,1.098096633,2.47681796,4.404587604
6/06/2022 15:00,1.098096633,,
6/06/2022 20:00,,2.452415813,
6/06/2022 21:00,,2.440214739,
6/06/2022 22:00,,2.464616886,
7/06/2022 0:00,,2.464616886,
